record_id,db_id,category,issue
8346,student_club,unresolved_provenance_refs,[native r8346] unresolved provenance refs: ['budget.spent']
31131,financial,feature_path_not_accessed,[native r31131] dynamic key feature counterparty_flow_profiles.bank_symbol_flow_matrix does not access feature path flows_by_symbol
43953,formula_1,dynamic_key_requires_objectToArray_path,[native r43953] dynamic key feature race_weekends_v2.results_by_status requires $objectToArray over sessions.race.results_by_status
43953,formula_1,feature_path_not_accessed,[native r43953] dynamic key feature race_weekends_v2.results_by_status does not access feature path sessions.race.results_by_status
43953,formula_1,unresolved_provenance_refs,"[native r43953] unresolved provenance refs: ['results', 'status', 'drivers', 'constructors']"
85245,thrombosis_prediction,ast_allowlist_check,"[C5 r85245] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
163297,financial,feature_path_not_accessed,[native r163297] dynamic key feature district_market_contexts.account_market_segments does not access feature path accounts_by_frequency
167305,superhero,feature_path_not_accessed,[native r167305] dynamic key feature ability_catalog.power_to_hero_index does not access feature path heroes_by_alignment
173800,debit_card_specializing,feature_path_not_accessed,[native r173800] dynamic key feature fuel_product_payment_timeline.product_day_station_buckets does not access feature path payment_timeline.by_date
229501,superhero,feature_path_not_accessed,[native r229501] dynamic key feature ability_catalog.power_to_hero_index does not access feature path heroes_by_alignment
244785,thrombosis_prediction,feature_path_not_accessed,[native r244785] dynamic key feature diagnosis_risk_panels.risk_group_patient_matrix does not access feature path patients_by_risk_group
291860,superhero,feature_path_not_accessed,[native r291860] dynamic key feature hero_dossiers.attribute_matrix does not access feature path ability_matrix.attributes_by_name
298561,toxicology,feature_path_not_accessed,[native r298561] dynamic key feature molecule_graphs.assay_bonds_by_type does not access feature path assay.views.bonds_by_type
362579,european_football_2,feature_path_not_accessed,[native r362579] dynamic key feature team_profiles.matches_by_season does not access feature path matches_by_season
362579,european_football_2,unresolved_provenance_refs,"[native r362579] unresolved provenance refs: ['Team.team_api_id', 'Match.season', 'Match.home_team_goal', 'Match.away_team_goal']"
378735,california_schools,unresolved_provenance_refs,"[native r378735] unresolved provenance refs: ['schools.GSoffered', 'frpm.Low Grade', 'frpm.High Grade', 'frpm.Percent (%) Eligible FRPM (K-12)']"
383559,superhero,ast_allowlist_check,[C5 r383559] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
399684,superhero,feature_path_not_accessed,[native r399684] dynamic key feature hero_dossiers.attribute_matrix does not access feature path ability_matrix.attributes_by_name
419731,california_schools,feature_path_not_accessed,[native r419731] dynamic key feature county_panels.sat_frpm_readiness_by_record_type does not access feature path sat_frpm_readiness_by_record_type
419731,california_schools,unresolved_provenance_refs,"[native r419731] unresolved provenance refs: ['satscores.NumTstTakr', 'frpm.FRPM Count (K-12)']"
458389,toxicology,ast_allowlist_check,[C5 r458389] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
461327,european_football_2,feature_path_not_accessed,[native r461327] dynamic key feature league_season_buckets.team_table does not access feature path teams_by_result_bucket
461327,european_football_2,unresolved_provenance_refs,"[native r461327] unresolved provenance refs: ['League.id', 'Match.season', 'Match.home_team_goal', 'Match.away_team_goal']"
489193,codebase_community,claimed_native_constructs_absent,[native r489193] claimed native constructs absent from MQL: ['$unwind']
489348,superhero,ast_allowlist_check,[C5 r489348] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
494285,thrombosis_prediction,ast_allowlist_check,"[C5 r494285] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
541019,formula_1,polymorphic_discriminator_requirement,[native r541019] polymorphic feature f1_actor_profiles.polymorphic_profiles requires $switch or discriminator branch on entity_type
541019,formula_1,unresolved_provenance_refs,"[native r541019] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
543053,student_club,feature_path_not_accessed,[native r543053] dynamic key feature club_member_accounts_v2.income_by_source does not access feature path finance.income_by_source
564928,codebase_community,feature_path_not_accessed,[native r564928] dynamic key feature user_reputation_profiles.reputation_activity_lattice does not access feature path activity.by_year
575395,card_games,unresolved_provenance_refs,"[native r575395] unresolved provenance refs: ['foreign_data.language', 'foreign_data.name', 'cards.uuid']"
581804,financial,feature_path_not_accessed,[native r581804] dynamic key feature account_ledgers.monthly_activity_matrix does not access feature path cashflow.activity_by_month
590389,financial,ast_allowlist_check,[C5 r590389] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
593769,codebase_community,ast_allowlist_check,[C5 r593769] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
597079,student_club,feature_path_not_accessed,[native r597079] dynamic key feature club_member_accounts_v2.income_by_source does not access feature path finance.income_by_source
601274,european_football_2,nested_event_filter_requirement,[native r601274] nested event feature requires shape-preserving $filter; $unwind+$group alone is SQL-transfer shaped
601274,european_football_2,nested_event_filter_requirement,[native r601274] nested event feature match_documents.lineup_rating_context requires shape-preserving $filter
601274,european_football_2,feature_path_not_accessed,[native r601274] nested event feature match_documents.lineup_rating_context does not access feature path lineups.home.players
601274,european_football_2,unresolved_provenance_refs,"[native r601274] unresolved provenance refs: ['Match.home_player_1', 'Player.player_api_id', 'Player_Attributes.overall_rating']"
613725,student_club,claimed_native_constructs_absent,[native r613725] claimed native constructs absent from MQL: ['$ifNull']
618676,student_club,feature_path_not_accessed,[native r618676] dynamic key feature club_member_accounts_v2.income_by_source does not access feature path finance.income_by_source
769697,debit_card_specializing,dynamic_key_requires_objectToArray_path,[native r769697] dynamic key feature fuel_customer_spend_profiles.consumption_by_month requires $objectToArray over spend.consumption_by_month
769697,debit_card_specializing,feature_path_not_accessed,[native r769697] dynamic key feature fuel_customer_spend_profiles.consumption_by_month does not access feature path spend.consumption_by_month
777816,superhero,ast_allowlist_check,[C5 r777816] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
792866,formula_1,feature_path_not_accessed,[native r792866] dynamic key feature race_weekends_v2.results_by_status does not access feature path sessions.race.results_by_status
792866,formula_1,unresolved_provenance_refs,"[native r792866] unresolved provenance refs: ['results', 'status', 'drivers', 'constructors']"
801484,debit_card_specializing,dynamic_key_requires_objectToArray_path,[native r801484] dynamic key feature fuel_customer_spend_profiles.consumption_by_month requires $objectToArray over spend.consumption_by_month
801484,debit_card_specializing,feature_path_not_accessed,[native r801484] dynamic key feature fuel_customer_spend_profiles.consumption_by_month does not access feature path spend.consumption_by_month
841310,student_club,feature_path_not_accessed,[native r841310] dynamic key feature club_member_accounts_v2.income_by_source does not access feature path finance.income_by_source
842868,debit_card_specializing,dynamic_key_requires_objectToArray_path,[native r842868] dynamic key feature fuel_customer_spend_profiles.consumption_by_month requires $objectToArray over spend.consumption_by_month
842868,debit_card_specializing,feature_path_not_accessed,[native r842868] dynamic key feature fuel_customer_spend_profiles.consumption_by_month does not access feature path spend.consumption_by_month
856325,formula_1,unresolved_provenance_refs,"[native r856325] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
862174,debit_card_specializing,ast_allowlist_check,"[C5 r862174] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
892500,thrombosis_prediction,claimed_native_constructs_absent,[native r892500] claimed native constructs absent from MQL: ['$ifNull']
898160,formula_1,feature_path_not_accessed,[native r898160] dynamic key feature race_weekends_v2.results_by_status does not access feature path sessions.race.results_by_status
898160,formula_1,unresolved_provenance_refs,"[native r898160] unresolved provenance refs: ['results', 'status', 'drivers', 'constructors']"
907166,formula_1,unresolved_provenance_refs,"[native r907166] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
912363,financial,ast_allowlist_check,[C5 r912363] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
921321,european_football_2,claimed_native_constructs_absent,[native r921321] claimed native constructs absent from MQL: ['$ifNull']
921321,european_football_2,unresolved_provenance_refs,"[native r921321] unresolved provenance refs: ['Match.home_player_1', 'Player.player_api_id', 'Player_Attributes.overall_rating']"
922670,formula_1,dynamic_key_requires_objectToArray_path,[native r922670] dynamic key feature race_weekends_v2.results_by_status requires $objectToArray over sessions.race.results_by_status
922670,formula_1,feature_path_not_accessed,[native r922670] dynamic key feature race_weekends_v2.results_by_status does not access feature path sessions.race.results_by_status
922670,formula_1,unresolved_provenance_refs,"[native r922670] unresolved provenance refs: ['results', 'status', 'drivers', 'constructors']"
942551,formula_1,ast_allowlist_check,[C5 r942551] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
942551,formula_1,unresolved_provenance_refs,"[native r942551] unresolved provenance refs: ['lapTimes', 'results', 'drivers', 'constructors']"
944955,toxicology,ast_allowlist_check,"[C5 r944955] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
973429,thrombosis_prediction,ast_allowlist_check,"[C5 r973429] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
988626,california_schools,feature_path_not_accessed,[native r988626] dynamic key feature school_profiles.frpm_by_academic_year does not access feature path equity_panels.frpm_by_academic_year
988626,california_schools,unresolved_provenance_refs,"[native r988626] unresolved provenance refs: ['frpm.Enrollment (K-12)', 'frpm.FRPM Count (K-12)']"
995409,financial,ast_allowlist_check,[C5 r995409] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
1009167,toxicology,ast_allowlist_check,[C5 r1009167] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
1010153,debit_card_specializing,ast_allowlist_check,"[C5 r1010153] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1023512,financial,ast_allowlist_check,"[C5 r1023512] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1063226,formula_1,unresolved_provenance_refs,"[native r1063226] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
1070083,formula_1,unresolved_provenance_refs,"[native r1070083] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
1117008,california_schools,feature_path_not_accessed,[native r1117008] dynamic key feature district_rollups.schools_by_grade_span does not access feature path schools_by_grade_span
1117008,california_schools,unresolved_provenance_refs,"[native r1117008] unresolved provenance refs: ['schools.GSoffered', 'frpm.Low Grade', 'frpm.High Grade', 'frpm.Percent (%) Eligible FRPM (K-12)']"
1127629,codebase_community,claimed_native_constructs_absent,[native r1127629] claimed native constructs absent from MQL: ['$unwind']
1153283,debit_card_specializing,feature_path_not_accessed,[native r1153283] dynamic key feature fuel_station_market_catalog.station_transactions_by_date does not access feature path transactions_by_date
1167175,student_club,feature_path_not_accessed,[native r1167175] dynamic key feature club_event_plans_v2.budget_by_category does not access feature path budget_by_category
1167175,student_club,unresolved_provenance_refs,[native r1167175] unresolved provenance refs: ['budget.spent']
1176487,california_schools,feature_path_not_accessed,[native r1176487] dynamic key feature district_rollups.schools_by_grade_span does not access feature path schools_by_grade_span
1176487,california_schools,unresolved_provenance_refs,"[native r1176487] unresolved provenance refs: ['schools.GSoffered', 'frpm.Low Grade', 'frpm.High Grade', 'frpm.Percent (%) Eligible FRPM (K-12)']"
1204829,formula_1,dynamic_key_requires_objectToArray_path,[native r1204829] dynamic key feature race_weekends_v2.laps_by_number requires $objectToArray over sessions.race.laps_by_number
1204829,formula_1,feature_path_not_accessed,[native r1204829] dynamic key feature race_weekends_v2.laps_by_number does not access feature path sessions.race.laps_by_number
1204829,formula_1,unresolved_provenance_refs,"[native r1204829] unresolved provenance refs: ['lapTimes', 'results', 'drivers', 'constructors']"
1219683,california_schools,ast_allowlist_check,"[C5 r1219683] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1219683,california_schools,unresolved_provenance_refs,"[native r1219683] unresolved provenance refs: ['frpm.Enrollment (K-12)', 'frpm.FRPM Count (K-12)']"
1224852,student_club,feature_path_not_accessed,[native r1224852] dynamic key feature club_event_plans_v2.budget_by_category does not access feature path budget_by_category
1224852,student_club,unresolved_provenance_refs,[native r1224852] unresolved provenance refs: ['budget.spent']
1230432,debit_card_specializing,feature_path_not_accessed,[native r1230432] dynamic key feature fuel_station_market_catalog.station_transactions_by_date does not access feature path transactions_by_date
1248463,european_football_2,ast_allowlist_check,"[C5 r1248463] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1248463,european_football_2,unresolved_provenance_refs,"[native r1248463] unresolved provenance refs: ['League.id', 'Match.season', 'Match.home_team_goal', 'Match.away_team_goal']"
1279316,card_games,ast_allowlist_check,"[C5 r1279316] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1279316,card_games,unresolved_provenance_refs,"[native r1279316] unresolved provenance refs: ['rulings.date', 'rulings.text', 'cards.uuid']"
1285584,superhero,ast_allowlist_check,[C5 r1285584] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
1286333,codebase_community,feature_path_not_accessed,[native r1286333] dynamic key feature user_reputation_profiles.reputation_activity_lattice does not access feature path activity.by_year
1304119,formula_1,unresolved_provenance_refs,"[native r1304119] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
1337298,codebase_community,feature_path_not_accessed,[native r1337298] dynamic key feature user_reputation_profiles.reputation_activity_lattice does not access feature path activity.by_year
1386816,formula_1,unresolved_provenance_refs,"[native r1386816] unresolved provenance refs: ['drivers', 'constructors', 'circuits', 'results', 'races']"
1398853,debit_card_specializing,feature_path_not_accessed,[native r1398853] dynamic key feature fuel_customer_spend_profiles.consumption_by_month does not access feature path spend.consumption_by_month
1412245,card_games,feature_path_not_accessed,[native r1412245] dynamic key feature card_print_dossiers.legality_by_format does not access feature path legality.by_format
1412245,card_games,unresolved_provenance_refs,"[native r1412245] unresolved provenance refs: ['legalities.format', 'legalities.status', 'cards.uuid']"
1428168,european_football_2,feature_path_not_accessed,[native r1428168] dynamic key feature league_season_buckets.team_table does not access feature path teams_by_result_bucket
1428168,european_football_2,unresolved_provenance_refs,"[native r1428168] unresolved provenance refs: ['League.id', 'Match.season', 'Match.home_team_goal', 'Match.away_team_goal']"
1434603,card_games,ast_allowlist_check,[C5 r1434603] gold MQL fails its own AST_check: ['forbidden root op present $group']
1434603,card_games,unresolved_provenance_refs,[native r1434603] unresolved provenance refs: ['cards.uuid']
1455069,financial,ast_allowlist_check,"[C5 r1455069] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1481064,formula_1,feature_path_not_accessed,[native r1481064] dynamic key feature race_weekends_v2.results_by_status does not access feature path sessions.race.results_by_status
1481064,formula_1,unresolved_provenance_refs,"[native r1481064] unresolved provenance refs: ['results', 'status', 'drivers', 'constructors']"
1498121,superhero,ast_allowlist_check,"[C5 r1498121] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1507298,card_games,ast_allowlist_check,[C5 r1507298] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
1507298,card_games,unresolved_provenance_refs,"[native r1507298] unresolved provenance refs: ['foreign_data.language', 'foreign_data.name', 'cards.uuid']"
1553827,thrombosis_prediction,ast_allowlist_check,"[C5 r1553827] gold MQL fails its own AST_check: ['forbidden root op present $group', 'forbidden root op present $unwind']"
1554144,card_games,ast_allowlist_check,[C5 r1554144] gold MQL fails its own AST_check: ['forbidden root op present $unwind']
1554144,card_games,unresolved_provenance_refs,"[native r1554144] unresolved provenance refs: ['rulings.date', 'rulings.text', 'cards.uuid']"
1563731,codebase_community,feature_path_not_accessed,[native r1563731] dynamic key feature community_threads.tag_thread_matrix does not access feature path taxonomy.tags_by_name
1613872,student_club,feature_path_not_accessed,[native r1613872] dynamic key feature club_event_plans_v2.budget_by_category does not access feature path budget_by_category
1613872,student_club,unresolved_provenance_refs,[native r1613872] unresolved provenance refs: ['budget.spent']
1638631,financial,feature_path_not_accessed,[native r1638631] dynamic key feature account_ledgers.monthly_activity_matrix does not access feature path cashflow.activity_by_month
1643708,student_club,feature_path_not_accessed,[native r1643708] dynamic key feature club_event_plans_v2.budget_by_category does not access feature path budget_by_category
1643708,student_club,unresolved_provenance_refs,[native r1643708] unresolved provenance refs: ['budget.spent']
