record_id,db_id,NLQ,NLQ_colloquial,MQL,mql_signature,mql_skeleton_signature,mql_skeleton_summary,stage_count,operator_count,complexity_score
8346,student_club,Find members attending multiple guest-speaker events that include Speaker Gifts budgets; return up to 11 members.,List up to 11 members tied to repeated guest-speaker gift budgets.,"db.club_member_accounts_v2.aggregate([{""$unwind"":""$participation.events""},{""$project"":{""_id"":0,""member_id"":""$account.member_id"",""member"":""$account.profile.display_name"",""role"":""$account.club_role.position"",""event_name"":""$participation.events.event.name"",""event_type"":""$participation.events.event.type"",""event_status"":""$participation.events.event.status"",""budget_entries"":{""$objectToArray"":{""$ifNull"":[""$participation.events.budget_by_category"",{}]}}}},{""$unwind"":""$budget_entries""},{""$match"":{""event_type"":""Guest Speaker"",""budget_entries.k"":""Speaker Gifts""}},{""$group"":{""_id"":{""member_id"":""$member_id"",""member"":""$member"",""role"":""$role""},""speaker_events"":{""$addToSet"":""$event_name""},""speaker_gift_allocated"":{""$sum"":""$budget_entries.v.allocated_total""},""closed_event_count"":{""$sum"":{""$cond"":[{""$eq"":[""$event_status"",""Closed""]},1,0]}}}},{""$match"":{""$expr"":{""$gte"":[{""$size"":""$speaker_events""},2]}}},{""$project"":{""_id"":0,""member_id"":""$_id.member_id"",""member"":""$_id.member"",""role"":""$_id.role"",""speaker_events"":1,""event_count"":{""$size"":""$speaker_events""},""closed_event_count"":1,""speaker_gift_allocated"":1}},{""$sort"":{""speaker_gift_allocated"":-1,""member"":1}},{""$limit"":11}])",sha256:ae30407d2c07e0a54b5677eef6bbf3788ef8bd48c03e0cdc87cc4823b210abc5,sha256:2564a1242ebb31c6f225bde42a696ba2f2b998b053df7c5b20edc90f4462abcf,$unwind>$project>$unwind>$match>$group>$match>$project>$sort>$limit,9,15,18.8
31131,financial,Compare loan-account share by district and fee frequency with gender pool and salary context; return up to 10 rows.,Show up to 10 district-frequency groups with concentrated loan accounts.,"db.district_market_contexts.aggregate([{""$project"":{""district_id"":""$district.district_id"",""district_name"":""$district.name"",""region"":""$district.region"",""avg_salary"":""$district.avg_salary"",""salary_band"":1,""frequencies"":{""$objectToArray"":{""$ifNull"":[""$accounts_by_frequency"",{}]}},""female_clients"":{""$ifNull"":[""$clients_by_gender.F"",[]]},""male_clients"":{""$ifNull"":[""$clients_by_gender.M"",[]]}}},{""$unwind"":""$frequencies""},{""$addFields"":{""account_count"":{""$size"":{""$ifNull"":[""$frequencies.v"",[]]}},""loan_account_count"":{""$size"":{""$filter"":{""input"":{""$ifNull"":[""$frequencies.v"",[]]},""as"":""a"",""cond"":{""$eq"":[""$$a.loan_presence_state"",""present""]}}}},""female_count"":{""$size"":""$female_clients""},""male_count"":{""$size"":""$male_clients""}}},{""$match"":{""account_count"":{""$gte"":20},""loan_account_count"":{""$gte"":1},""female_count"":{""$gte"":10},""male_count"":{""$gte"":10}}},{""$project"":{""district_id"":1,""district_name"":1,""region"":1,""avg_salary"":1,""salary_band"":1,""frequency_key"":""$frequencies.k"",""account_count"":1,""loan_account_count"":1,""female_count"":1,""male_count"":1,""loan_account_share"":{""$divide"":[""$loan_account_count"",""$account_count""]},""female_share"":{""$divide"":[""$female_count"",{""$add"":[""$female_count"",""$male_count""]}]}}},{""$sort"":{""loan_account_share"":-1,""account_count"":-1}},{""$limit"":10}])",sha256:6211d0079f6eb3779fcef0f38f5b6081c5d56e7c4617a944eb7bd380ef7024d7,sha256:12b65a752752ab0166d4f3c7d0ea9db28b00f7975f728130f04176dfbdb34a36,$project>$unwind>$addFields>$match>$project>$sort>$limit,7,14,14.75
43953,formula_1,"Aggregate Formula 1 race entries by season, circuit country, constructor, and finish status; return up to 8 high-points groups.",Show up to 8 F1 constructor/status groups with the most points.,"db.race_weekends_v2.aggregate([{""$unwind"":""$sessions.race.entries""},{""$project"":{""season"":""$calendar.season_year"",""circuit_country"":""$circuit.country"",""constructor"":""$sessions.race.entries.constructor.name"",""driver_nationality"":""$sessions.race.entries.driver.nationality"",""status"":""$sessions.race.entries.finish.status"",""points"":""$sessions.race.entries.finish.points"",""grid"":""$sessions.race.entries.grid"",""position_order"":""$sessions.race.entries.finish.position_order""}},{""$group"":{""_id"":{""season"":""$season"",""country"":""$circuit_country"",""constructor"":""$constructor"",""status"":""$status""},""entry_count"":{""$sum"":1},""points_total"":{""$sum"":""$points""},""avg_grid"":{""$avg"":""$grid""},""avg_finish_order"":{""$avg"":""$position_order""}}},{""$project"":{""_id"":0,""season"":""$_id.season"",""circuit_country"":""$_id.country"",""constructor"":""$_id.constructor"",""finish_status"":""$_id.status"",""entry_count"":1,""points_total"":1,""avg_grid"":1,""avg_finish_order"":1}},{""$sort"":{""points_total"":-1}},{""$limit"":8}])",sha256:8290351aa2ec073b4decd564b4afcfaa6664212cda07c70588091d77d812d1ee,sha256:e1d35d3a584f1a880544652fc2e92253e19d2d583b3ed25d70321143c1d99338,$unwind>$project>$group>$project>$sort>$limit,6,7,10.95
85245,thrombosis_prediction,"For each patient_clinical_profiles document, inspect the dynamic keys under timeline.lab_panels_by_year and keep entries where summarize panels.measurements_by_code.HGB.value totals across dynamic timeline.lab_panels_by_year keys with context bucketed by identity.patient_id around 5307643, returning up to 50 documents.",Show up to 50 patient_clinical_profiles rows where timeline.lab_panels_by_year has summarize panels.measurements_by_code.HGB.value totals across dynamic timeline.lab_panels_by_year keys with context bucketed by identity.patient_id around 5307643.,"db.patient_clinical_profiles.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$identity.patient_id"",5307643]},""identity.patient_id>= 5307643"",""identity.patient_id< 5307643""]}}},{""$project"":{""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$timeline.lab_panels_by_year"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.v.panels.measurements_by_code.HGB.value"":{""$ne"":null}}},{""$group"":{""_id"":{""context"":""$native_context_bucket"",""native_key"":""$native_dynamic_entries.k""},""entry_count"":{""$sum"":1},""metric_total"":{""$sum"":""$native_dynamic_entries.v.panels.measurements_by_code.HGB.value""}}},{""$match"":{""entry_count"":{""$gte"":1}}},{""$sort"":{""_id"":1,""metric_total"":-1}},{""$limit"":50}])",sha256:f55fbbd57709d2b07b34a4be995342bceaa24eb6620a3d7cd0affef67f941926,sha256:c6ca68dfd4bc6adfb546eb147db6bfe90bd86961690b1cb0179d67373662356e,$addFields>$project>$unwind>$match>$group>$match>$sort>$limit,8,13,15.85
87075,debit_card_specializing,Summarize high-consumption customer-month buckets by segment and calendar month; return up to 19 rows.,Show up to 19 segment-month buckets with heavy customer fuel consumption.,"db.fuel_customer_spend_profiles.aggregate([{""$project"":{""segment"":""$identity.segment.value"",""customer_id"":""$identity.customer_id"",""months"":{""$objectToArray"":{""$ifNull"":[""$spend.consumption_by_month"",{}]}}}},{""$unwind"":""$months""},{""$match"":{""months.v.consumption_total"":{""$gte"":500}}},{""$group"":{""_id"":{""segment"":""$segment"",""year"":""$months.v.year"",""month_number"":""$months.v.month_number""},""customer_months"":{""$sum"":1},""consumption_total"":{""$sum"":""$months.v.consumption_total""},""transaction_gross_total"":{""$sum"":""$months.v.transaction_gross_total""}}},{""$project"":{""_id"":0,""segment"":""$_id.segment"",""year"":""$_id.year"",""month_number"":""$_id.month_number"",""customer_months"":1,""consumption_total"":1,""transaction_gross_total"":1}},{""$sort"":{""consumption_total"":-1}},{""$limit"":19}])",sha256:6d3148c437bd4a3cd65b17acbb559b86785386ffea742fb35cff0bb02e3392ee,sha256:3f95885f24172aa892e95b1eb8fe04ce9954775d6c0c8a436a5e5fd9e3dc9236,$project>$unwind>$match>$group>$project>$sort>$limit,7,10,13.8
122572,toxicology,Find molecules containing both nitrogen and oxygen with at least one double bond; return up to 23 molecules.,"List up to 23 molecules that combine N, O, and a double-bond signal.","db.molecule_graphs.aggregate([{""$unwind"":""$assay.views""},{""$project"":{""_id"":0,""molecule_id"":""$identity.molecule_id"",""label"":""$assay.label.interpretation"",""element_keys"":{""$map"":{""input"":{""$objectToArray"":{""$ifNull"":[""$chemistry.elements_by_symbol"",{}]}},""as"":""e"",""in"":""$$e.k""}},""bond_entries"":{""$objectToArray"":{""$ifNull"":[""$assay.views.bonds_by_type"",{}]}}}},{""$addFields"":{""double_bond_count"":{""$sum"":{""$map"":{""input"":""$bond_entries"",""as"":""b"",""in"":{""$cond"":[{""$eq"":[""$$b.k"",""=""]},{""$size"":{""$ifNull"":[""$$b.v"",[]]}},0]}}}}}},{""$match"":{""$expr"":{""$and"":[{""$setIsSubset"":[[""n"",""o""],""$element_keys""]},{""$gte"":[""$double_bond_count"",1]}]}}},{""$project"":{""molecule_id"":1,""label"":1,""element_keys"":1,""double_bond_count"":1}},{""$sort"":{""double_bond_count"":-1,""molecule_id"":1}},{""$limit"":23}])",sha256:3510751522ae4e8694e91ce21bc13bc097fb0e82508e39a2626216f575998391,sha256:5a11b5abb2d8ecbe6d2c225befb7fd448b41b2372fda7ca9bd3c9e3d12382cdf,$unwind>$project>$addFields>$match>$project>$sort>$limit,7,17,15.8
163297,financial,"Summarize loan repayment schedule months by status, region, and year; return up to 21 high-schedule groups.",Give me up to 21 loan schedule groups by region and status.,"db.account_ledgers.aggregate([{""$project"":{""account_id"":""$identity.account_id"",""frequency"":""$identity.service_plan.frequency_key"",""district"":""$district_context.name"",""region"":""$district_context.region"",""salary"":""$district_context.avg_salary"",""loan_status"":""$loan.contract.status_bucket"",""dues"":{""$objectToArray"":{""$ifNull"":[""$loan.repayment_schedule.by_due_month"",{}]}}}},{""$unwind"":""$dues""},{""$group"":{""_id"":{""loan_status"":""$loan_status"",""region"":""$region"",""year"":{""$substr"":[""$dues.k"",0,4]}},""due_months"":{""$sum"":1},""scheduled_total"":{""$sum"":""$dues.v.scheduled_amount""},""paid_total"":{""$sum"":""$dues.v.observed_payment_total""},""avg_salary"":{""$avg"":""$salary""}}},{""$project"":{""_id"":0,""loan_status"":""$_id.loan_status"",""region"":""$_id.region"",""year"":""$_id.year"",""due_months"":1,""scheduled_total"":1,""paid_total"":1,""avg_salary"":1}},{""$sort"":{""scheduled_total"":-1}},{""$limit"":21}])",sha256:83f2ade98821aef7dd22c3b70601cac27b530a7e4461c104fbc6a9b2fead3a45,sha256:bf370e3d7b26d78a453da312b9ee8be95450490a10cf0998b65d595936703c27,$project>$unwind>$group>$project>$sort>$limit,6,10,12.8
167305,superhero,Cross hero attribute scores with power-family membership by publisher and alignment; return up to 17 groups.,"Show up to 17 superhero groups that combine attributes, powers, publisher, and alignment.","db.hero_dossiers.aggregate([{""$project"":{""hero"":""$profile.hero_name.value"",""publisher"":""$universe.publisher.name.value"",""alignment"":""$universe.alignment.name.value"",""attributes"":{""$objectToArray"":{""$ifNull"":[""$ability_matrix.attributes_by_name"",{}]}},""power_families"":{""$objectToArray"":{""$ifNull"":[""$powers.powers_by_family"",{}]}}}},{""$unwind"":""$attributes""},{""$unwind"":""$power_families""},{""$addFields"":{""attribute_value"":{""$ifNull"":[{""$arrayElemAt"":[""$attributes.v.observations.value"",0]},{""$arrayElemAt"":[""$attributes.v.observations.score.value"",0]}]}}},{""$match"":{""attribute_value"":{""$gte"":40}}},{""$group"":{""_id"":{""publisher"":""$publisher"",""alignment"":""$alignment"",""attribute"":""$attributes.k"",""power_family"":""$power_families.k""},""hero_count"":{""$sum"":1},""avg_attribute"":{""$avg"":""$attribute_value""},""power_total"":{""$sum"":""$power_families.v.power_count""}}},{""$project"":{""_id"":0,""publisher"":""$_id.publisher"",""alignment"":""$_id.alignment"",""attribute"":""$_id.attribute"",""power_family"":""$_id.power_family"",""hero_count"":1,""avg_attribute"":1,""power_total"":1}},{""$sort"":{""hero_count"":-1}},{""$limit"":17}])",sha256:68afff6fad6cec2c6dc91cb4622e0fd91e320b59a477450bf81539f1fa4dd2e6,sha256:f1f51214548094f17baedd7d5eb377bcba2e5eb1f24e3e9c3e83dae195219254,$project>$unwind>$unwind>$addFields>$match>$group>$project>$sort>$limit,9,13,18.1
173800,debit_card_specializing,Summarize high-consumption customer-month buckets by segment and calendar month; return up to 25 rows.,Show up to 25 segment-month buckets with heavy customer fuel consumption.,"db.fuel_customer_spend_profiles.aggregate([{""$project"":{""segment"":""$identity.segment.value"",""customer_id"":""$identity.customer_id"",""months"":{""$objectToArray"":{""$ifNull"":[""$spend.consumption_by_month"",{}]}}}},{""$unwind"":""$months""},{""$match"":{""months.v.consumption_total"":{""$gte"":500}}},{""$group"":{""_id"":{""segment"":""$segment"",""year"":""$months.v.year"",""month_number"":""$months.v.month_number""},""customer_months"":{""$sum"":1},""consumption_total"":{""$sum"":""$months.v.consumption_total""},""transaction_gross_total"":{""$sum"":""$months.v.transaction_gross_total""}}},{""$project"":{""_id"":0,""segment"":""$_id.segment"",""year"":""$_id.year"",""month_number"":""$_id.month_number"",""customer_months"":1,""consumption_total"":1,""transaction_gross_total"":1}},{""$sort"":{""consumption_total"":-1}},{""$limit"":25}])",sha256:ce9fb0ffd4109f2955240290e9c0c5097a3dbb33d7739630716d3f6734e9ca80,sha256:3f95885f24172aa892e95b1eb8fe04ce9954775d6c0c8a436a5e5fd9e3dc9236,$project>$unwind>$match>$group>$project>$sort>$limit,7,10,13.8
226829,financial,"Find shared accounts combining OWNER and DISPONENT roles, card ownership, loan state, and district context; return up to 15 rows.",List up to 15 shared-account relationship graphs with cards or loans attached.,"db.party_relationship_graphs.aggregate([{""$project"":{""account_id"":""$account.account_id"",""district_name"":""$account.district.name"",""region"":""$account.district.region"",""frequency"":""$account.frequency"",""loan_status_bucket"":""$loan_link.status_bucket"",""roles"":{""$objectToArray"":{""$ifNull"":[""$relationships.members_by_role"",{}]}},""owners"":{""$ifNull"":[""$relationships.members_by_role.OWNER"",[]]},""disponents"":{""$ifNull"":[""$relationships.members_by_role.DISPONENT"",[]]}}},{""$addFields"":{""owner_count"":{""$size"":""$owners""},""disponent_count"":{""$size"":""$disponents""},""owner_cards"":{""$sum"":{""$map"":{""input"":""$owners"",""as"":""m"",""in"":{""$size"":{""$ifNull"":[""$$m.cards"",[]]}}}}},""disponent_cards"":{""$sum"":{""$map"":{""input"":""$disponents"",""as"":""m"",""in"":{""$size"":{""$ifNull"":[""$$m.cards"",[]]}}}}},""role_keys"":{""$map"":{""input"":""$roles"",""as"":""r"",""in"":""$$r.k""}}}},{""$match"":{""disponent_count"":{""$gte"":1},""$or"":[{""owner_cards"":{""$gte"":1}},{""disponent_cards"":{""$gte"":1}},{""loan_status_bucket"":{""$ne"":""no_loan""}}]}},{""$project"":{""account_id"":1,""district_name"":1,""region"":1,""frequency"":1,""loan_status_bucket"":1,""role_keys"":1,""owner_count"":1,""disponent_count"":1,""owner_cards"":1,""disponent_cards"":1}},{""$sort"":{""disponent_cards"":-1,""owner_cards"":-1,""account_id"":1}},{""$limit"":15}])",sha256:1b1848225d0ecbee323a5a6e5e6b948b4c3c255e5d6a1618ca2168eec2e8a432,sha256:fceb97a8605582ca318c094d68afa0292582cee7797e7905dae4881a8f913497,$project>$addFields>$match>$project>$sort>$limit,6,13,12.15
