db_id,category,issues
california_schools,ast_allowlist_check,64
california_schools,claimed_native_constructs_absent,26
california_schools,feature_path_not_accessed,15
california_schools,unresolved_provenance_refs,110
card_games,ast_allowlist_check,67
card_games,claimed_native_constructs_absent,21
card_games,feature_path_not_accessed,13
card_games,unresolved_provenance_refs,110
codebase_community,ast_allowlist_check,68
codebase_community,claimed_native_constructs_absent,22
codebase_community,feature_path_not_accessed,14
debit_card_specializing,ast_allowlist_check,68
debit_card_specializing,claimed_native_constructs_absent,22
debit_card_specializing,dynamic_key_requires_objectToArray_path,7
debit_card_specializing,feature_path_not_accessed,19
european_football_2,ast_allowlist_check,49
european_football_2,claimed_native_constructs_absent,29
european_football_2,feature_path_not_accessed,14
european_football_2,nested_event_filter_requirement,10
european_football_2,unresolved_provenance_refs,110
financial,ast_allowlist_check,69
financial,claimed_native_constructs_absent,21
financial,feature_path_not_accessed,15
formula_1,ast_allowlist_check,43
formula_1,claimed_native_constructs_absent,14
formula_1,dynamic_key_requires_objectToArray_path,12
formula_1,feature_path_not_accessed,18
formula_1,polymorphic_discriminator_requirement,1
formula_1,unresolved_provenance_refs,110
student_club,ast_allowlist_check,66
student_club,claimed_native_constructs_absent,24
student_club,feature_path_not_accessed,17
student_club,nested_event_filter_requirement,1
student_club,unresolved_provenance_refs,58
superhero,ast_allowlist_check,76
superhero,claimed_native_constructs_absent,12
superhero,feature_path_not_accessed,15
thrombosis_prediction,ast_allowlist_check,46
thrombosis_prediction,claimed_native_constructs_absent,28
thrombosis_prediction,feature_path_not_accessed,11
thrombosis_prediction,nested_event_filter_requirement,4
toxicology,ast_allowlist_check,74
toxicology,claimed_native_constructs_absent,14
toxicology,feature_path_not_accessed,9
